date,without_mirrors,with_mirrors
2026-06-20,246,692
2026-06-21,4,75
2026-06-22,8,40
2026-06-23,6,10
2026-06-24,,10
2026-06-25,,1
2026-06-26,6,8
2026-06-27,3,12
2026-06-28,,6
2026-06-29,6,11
2026-06-30,6,8
2026-07-01,,6
2026-07-03,114,472
2026-07-04,4,29
2026-07-05,4,33
2026-07-06,,7
2026-07-07,,34
2026-07-08,1,25
2026-07-09,4,17
2026-07-10,6,18
2026-07-11,,6
2026-07-12,2,8
2026-07-13,,8
2026-07-14,2,7
2026-07-15,1,1
2026-07-16,3,23
2026-07-17,4,12
2026-07-18,,2
2026-07-19,1,18
2026-07-20,,7
2026-07-21,,1
2026-07-22,7,8
2026-07-23,3,3
2026-07-24,2,24
2026-07-25,3,3
2026-07-27,,13
2026-07-28,,4
2026-07-30,6,6
2026-07-31,,6
2026-08-03,2,19
2026-08-04,,1
2026-08-05,,9
2026-08-06,3,3
2026-08-07,3,8
2026-08-08,,3
2026-08-09,4,4
2026-08-10,1,17
2026-08-11,,1
2026-08-13,1,1
2026-08-14,,4
2026-08-15,2,2
2026-08-17,,6
2026-08-18,2,2
2026-08-19,,2
2026-08-21,,8
2026-08-23,2,3
2026-08-24,2,16
2026-08-25,,1
2026-08-27,,1
2026-08-28,,11
